Code,Name,Type,Alcohol,Px,Px Unit,Bulk Px,Bulk Unit,URL
CB5961,"Château Lary Tagot, Bordeaux 2018",Red Wine,14%,£7.95,Bottle,£95,Case of 12,/shop/ProductDetail.aspx?pd=CB5961
IT31011,"The Society's Sicilian Reserve Red 2017",Red Wine,13.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=IT31011
BJ8801,"Bin #009 Chiroubles 2020",Red Wine,13%,£10.50,Bottle,,,/shop/ProductDetail.aspx?pd=BJ8801
FC40071,"Domaine Laborie, Pays d'Oc 2020",Red Wine,12.5%,£6.50,Bottle,£78,Case of 12,/shop/ProductDetail.aspx?pd=FC40071
IT30761,"Baccolo Appassimento Rosso Veneto 2019",Red Wine,13.5%,£6.95,Bottle,£41.50,Case of 6,/shop/ProductDetail.aspx?pd=IT30761
IT29871,"The Society's Valpolicella Ripasso 2018",Red Wine,13.5%,£11.50,Bottle,£69,Case of 6,/shop/ProductDetail.aspx?pd=IT29871
SP16181,"The Society's Rioja Crianza 2017",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=SP16181
CL241,"The Society's Claret 2019",Red Wine,13.5%,£7.25,Bottle,£87,Case of 12,/shop/ProductDetail.aspx?pd=CL241
RH56921,"Ventoux Les Traverses, Paul Jaboulet Aîné 2019",Red Wine,14.5%,£8.75,Bottle,£105,Case of 12,/shop/ProductDetail.aspx?pd=RH56921
SP16451,"Muga Reserva, Rioja 2017",Red Wine,14%,£16,Bottle,£192,Case of 12,/shop/ProductDetail.aspx?pd=SP16451
BJ8751,"The Society's Exhibition Fleurie 2020",Red Wine,13.5%,£10.50,Bottle,£126,Case of 12,/shop/ProductDetail.aspx?pd=BJ8751
RH57581,"Côtes-du-Rhône, Domaine Jaume 2019",Red Wine,14%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=RH57581
AR4381,"The Society's Exhibition Mendoza Malbec 2019",Red Wine,13.5%,£11.50,Bottle,£138,Case of 12,/shop/ProductDetail.aspx?pd=AR4381
IT30781,"Montepulciano d'Abruzzo, Vigna Corvino 2019",Red Wine,13%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=IT30781
AR4361,"The Society’s Argentine Malbec 2020",Red Wine,14.5%,£8.50,Bottle,£102,Case of 12,/shop/ProductDetail.aspx?pd=AR4361
CE11391,"The Society's Chilean Pinot Noir, Leyda 2020",Red Wine,13.5%,£8.95,Bottle,£107,Case of 12,/shop/ProductDetail.aspx?pd=CE11391
FC40241,"Syrah-Mourvèdre, Côtes de Thongue, Domaine La Condamine L'Evêque 2020",Red Wine,13%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=FC40241
SA16311,"Percheron Shiraz-Mourvèdre, Swartland 2020",Red Wine,14.5%,£6.95,Bottle,£83,Case of 12,/shop/ProductDetail.aspx?pd=SA16311
CE11521,"Lascar Classic Merlot 2020",Red Wine,13%,£5.95,Bottle,£71,Case of 12,/shop/ProductDetail.aspx?pd=CE11521
IT30241,"The Society's Montepulciano d'Abruzzo 2019",Red Wine,13.5%,£7.75,Bottle,£93,Case of 12,/shop/ProductDetail.aspx?pd=IT30241
